"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","567","Проверка аккордеона в блоке FAQ","tests","2026-04-01","passed","2026-04-01","TestFAQ","test_faq_accordion","",""
"","571","Проверка аккордеона в блоке FAQ","tests","2026-04-01","passed","2026-04-01","TestFAQ","test_faq_accordion","",""
"","567","Проверка аккордеона в блоке FAQ","tests","2026-04-01","passed","2026-04-01","TestFAQ","test_faq_accordion","",""
"","122","Переход на главную страницу при клике на логотип Самоката","tests","2026-04-01","passed","2026-04-01","TestLogoRedirect","test_logo_redirect","",""
"","1899","Заказ самоката через кнопку в блоке Как это работает","tests","2026-04-01","passed","2026-04-01","TestOrder","test_order","",""
"","555","Проверка аккордеона в блоке FAQ","tests","2026-04-01","passed","2026-04-01","TestFAQ","test_faq_accordion","",""
"","566","Проверка аккордеона в блоке FAQ","tests","2026-04-01","passed","2026-04-01","TestFAQ","test_faq_accordion","",""
"","548","Проверка аккордеона в блоке FAQ","tests","2026-04-01","passed","2026-04-01","TestFAQ","test_faq_accordion","",""
"","1623","Переход на Дзен при клике на логотип Яндекса","tests","2026-04-01","passed","2026-04-01","TestLogoRedirect","test_logo_redirect","",""
"","1891","Заказ самоката через кнопку в хедере","tests","2026-04-01","passed","2026-04-01","TestOrder","test_order","",""
"","552","Проверка аккордеона в блоке FAQ","tests","2026-04-01","passed","2026-04-01","TestFAQ","test_faq_accordion","",""
"","565","Проверка аккордеона в блоке FAQ","tests","2026-04-01","passed","2026-04-01","TestFAQ","test_faq_accordion","",""
